Object Name,Exported Object Count,Object Count Identified For Import,Import Objects Count,Failed Objects Count
edist_oh_primary,371,364,364,0
edist_primary_wire,955,953,953,0
edist_ug_primary,79,6,6,0
edist_primary_cable,230,1,1,0
edist_ug_secondary,0,0,0,0
edist_oh_secondary,0,0,0,0
edist_secondary_wire,0,0,0,0
edist_pole,403,366,366,0
edist_pole_attachment,578,0,0,0
edist_anchor_guy,65,1,1,0
edist_riser,0,0,0,0
edist_oh_transformer_bank,150,150,150,0
edist_oh_transformer_unit,235,235,235,0
edist_ug_transformer,34,35,35,0
edist_ug_transformer_unit,36,10,10,0
land_lot_centroid,1802,1691,1691,0
edist_pedestal,0,0,0,0
distributed_generation,17,16,16,0
edist_area_light,35,0,0,0
edist_brace,0,0,0,0
edist_capacitor_rack,2,2,2,0
edist_cogeneration,0,0,0,0
edist_switching_facility,1,2,2,0
edist_fault_indicator,3,2,2,0
edist_oh_ato,0,0,0,0
electric_xy,401,4,4,0
edist_primary_structure_node,484,11,11,0
edist_secondary_structure_node,453,1,1,0
edist_oh_fuse,51,52,52,0
edist_oh_fuse_unit,133,19,19,0
edist_primary_meter,1,1,1,0
edist_primary_open_point,2,2,2,0
edist_primary_splice,8,0,0,0
edist_recloser_bank,2,2,2,0
edist_recloser_unit,2,2,2,0
edist_regulator_bank,0,0,0,0
edist_secondary_open_point,0,0,0,0
edist_sectionalizer_bank,0,0,0,0
edist_sectionalizer_unit,0,0,0,0
edist_ug_service,0,0,0,0
edist_oh_service,0,0,0,0
edist_service_wire,0,0,0,0
edist_splice_box,0,0,0,0
edist_step_transformer_bank,0,0,0,0
edist_street_light,74,1,1,0
edist_ug_ato,0,0,0,0
edist_h_fixture,6,0,0,0
edist_ug_switch,3,0,0,0
edist_ug_fuse,3,0,0,0
edist_nonmetered_facility,0,0,0,0
edist_oh_switch,14,15,15,0
edist_oh_switch_unit,42,9,9,0
edist_secondary_transformer,0,0,0,0
edist_pad,23,0,0,0
