Table Name,ID,Parent ID,Change Type,Attribute,Original Value,New Value
OH Primary,248915869,N/A,UPDATE,installed_length,137.7,104
OH Primary,248916498,N/A,UPDATE,installed_length,127.6,127
Audit History,165202546,N/A,INSERT,,,
Audit History,165202578,N/A,INSERT,,,
Audit History,165202610,N/A,INSERT,,,
Audit History,165202642,N/A,INSERT,,,
Primary Wire,217524384,217524383,UPDATE,phase,A,B
Audit History,165201858,N/A,INSERT,,,
Audit History,165201917,N/A,INSERT,,,
Audit History,165202729,N/A,INSERT,,,
Audit History,165202761,N/A,INSERT,,,
Audit History,165202793,N/A,INSERT,,,
Audit History,165202109,N/A,INSERT,,,
Audit History,165202141,N/A,INSERT,,,
Audit History,165202173,N/A,INSERT,,,
Audit History,165202733,N/A,INSERT,,,
OH Primary,248916472,N/A,UPDATE,installed_length,123.6,123
Audit History,165203176,N/A,INSERT,,,
Pole,229929016,N/A,UPDATE,framing_type,Unknown,Horizontal Center Phase High
Primary Wire,217518016,217518014,UPDATE,phase,B,A
Audit History,165203203,N/A,INSERT,,,
Audit History,165203235,N/A,INSERT,,,
Audit History,165203267,N/A,INSERT,,,
Audit History,165203395,N/A,INSERT,,,
Primary Wire,217524385,217524383,UPDATE,phase,B,C
Audit History,165202702,N/A,INSERT,,,
Audit History,165202830,N/A,INSERT,,,
Audit History,165202862,N/A,INSERT,,,
Audit History,165202894,N/A,INSERT,,,
Audit History,165201448,N/A,INSERT,,,
Audit History,165201480,N/A,INSERT,,,
Audit History,165202671,N/A,INSERT,,,
Audit History,165203017,N/A,INSERT,,,
Audit History,165203049,N/A,INSERT,,,
Audit History,165203081,N/A,INSERT,,,
Audit History,165203113,N/A,INSERT,,,
Audit History,165202484,N/A,INSERT,,,
Audit History,165202516,N/A,INSERT,,,
Audit History,165202548,N/A,INSERT,,,
Audit History,165202580,N/A,INSERT,,,
Audit History,165200947,N/A,INSERT,,,
Primary Wire,217524386,217524383,UPDATE,phase,C,A
Audit History,165202947,N/A,INSERT,,,
Audit History,165202826,N/A,INSERT,,,
Audit History,165202858,N/A,INSERT,,,
Audit History,165202890,N/A,INSERT,,,
Audit History,165202922,N/A,INSERT,,,
Audit History,165202735,N/A,INSERT,,,
Audit History,165202767,N/A,INSERT,,,
Pole,231218844,N/A,UPDATE,framing_type,Unknown,Horizontal Neutral Low
Audit History,165202111,N/A,INSERT,,,
Pole,230019827,N/A,UPDATE,framing_type,Unknown,Horizontal Neutral Low
Audit History,165203178,N/A,INSERT,,,
Audit History,165202426,N/A,INSERT,,,
Audit History,165197648,N/A,INSERT,,,
Audit History,165197680,N/A,INSERT,,,
Audit History,165201390,N/A,INSERT,,,
Audit History,165203077,N/A,INSERT,,,
Audit History,165202229,N/A,INSERT,,,
