Object Name,Object Id,Feeder Name,Child Object,Child ID,Remarks
OH Primary,220529442,ARVA1700,Primary Wire,220529446,
OH Primary,217525388,ARVA1700,Primary Wire,217525390,
OH Primary,248915869,ARVA1700,Primary Wire,248915882,
OH Primary,218322906,ARVA1700,Primary Wire,218322908,
OH Primary,217500439,ARVA1700,Primary Wire,217500440,
OH Primary,217500439,ARVA1700,Primary Wire,217500441,
OH Primary,459758690,ARVA1700,Primary Wire,459758699,
OH Primary,217500439,ARVA1700,Primary Wire,217500443,
OH Primary,217525436,ARVA1700,Primary Wire,476810470,
OH Primary,221626286,ARVA1700,Primary Wire,221626290,
OH Primary,217515635,ARVA1700,Primary Wire,476810298,
OH Primary,248916523,ARVA1700,Primary Wire,248916536,
OH Primary,218322876,ARVA1700,Primary Wire,218322878,
OH Primary,217410929,ARVA1700,Primary Wire,217410930,
OH Primary,217525574,ARVA1700,Primary Wire,476810477,
OH Primary,217410929,ARVA1700,Primary Wire,217410932,
OH Primary,220723283,ARVA1700,Primary Wire,220723284,
OH Primary,220723283,ARVA1700,Primary Wire,220723285,
OH Primary,218322931,ARVA1700,Primary Wire,218322933,
OH Primary,217519297,ARVA1700,Primary Wire,217519301,
OH Primary,248914537,ARVA1700,Primary Wire,248914547,
OH Primary,248914537,ARVA1700,Primary Wire,248914548,
OH Primary,248914537,ARVA1700,Primary Wire,248914549,
OH Primary,385514356,ARVA1700,Primary Wire,385514368,
OH Primary,220723269,ARVA1700,Primary Wire,220723273,
OH Primary,217524935,ARVA1700,Primary Wire,476810464,
OH Primary,248916414,ARVA1700,Primary Wire,248916434,
OH Primary,217524478,ARVA1700,Primary Wire,217524480,
OH Primary,217500425,ARVA1700,Primary Wire,217500426,
OH Primary,217525401,ARVA1700,Primary Wire,217525407,
OH Primary,221625913,ARVA1700,Primary Wire,221625917,
OH Primary,217505823,ARVA1700,Primary Wire,217505827,
OH Primary,217524478,ARVA1700,Primary Wire,217524482,
OH Primary,248914616,ARVA1700,Primary Wire,248914631,
OH Primary,217526570,ARVA1700,Primary Wire,476810499,
OH Primary,217524478,ARVA1700,Primary Wire,217524479,
OH Primary,118198251,ARVA1700,Primary Wire,354502863,
OH Primary,248915892,ARVA1700,Primary Wire,248915927,
OH Primary,248914451,ARVA1700,Primary Wire,248914462,
OH Primary,221625641,ARVA1700,Primary Wire,221625645,
OH Primary,220723283,ARVA1700,Primary Wire,58770507,
OH Primary,474844921,ARVA1700,Primary Wire,474844943,
OH Primary,221625773,ARVA1700,Primary Wire,221625774,
OH Primary,221625773,ARVA1700,Primary Wire,221625775,
OH Primary,217519268,ARVA1700,Primary Wire,217519272,
OH Primary,217518520,ARVA1700,Primary Wire,217518524,
OH Primary,217526444,ARVA1700,Primary Wire,217526450,
OH Primary,217524547,ARVA1700,Primary Wire,476810454,
OH Primary,217500425,ARVA1700,Primary Wire,217500427,
OH Primary,217533434,ARVA1700,Primary Wire,217533436,
OH Primary,248916111,ARVA1700,Primary Wire,248916145,
OH Primary,217409579,ARVA1700,Primary Wire,217409581,
OH Primary,217416163,ARVA1700,Primary Wire,217416165,
OH Primary,220458350,ARVA1700,Primary Wire,220458351,
OH Primary,114326926,ARVA1700,Primary Wire,114326932,
OH Primary,114326926,ARVA1700,Primary Wire,114326933,
OH Primary,114326926,ARVA1700,Primary Wire,114326934,
OH Primary,221626256,ARVA1700,Primary Wire,221626260,
OH Primary,466690749,ARVA1700,Primary Wire,466690757,
OH Primary,217525470,ARVA1700,Primary Wire,476810473,
OH Primary,220529442,ARVA1700,Primary Wire,220529443,
OH Primary,248916348,ARVA1700,Primary Wire,248916372,
OH Primary,217409579,ARVA1700,Primary Wire,217409580,
OH Primary,248916472,ARVA1700,Primary Wire,248916488,
OH Primary,218322889,ARVA1700,Primary Wire,218322891,
OH Primary,217505922,ARVA1700,Primary Wire,217505926,
OH Primary,217411054,ARVA1700,Primary Wire,217411055,
OH Primary,217411054,ARVA1700,Primary Wire,217411056,
OH Primary,217524532,ARVA1700,Primary Wire,217524536,
OH Primary,474844921,ARVA1700,Primary Wire,474844941,
OH Primary,217501643,ARVA1700,Primary Wire,217501644,
OH Primary,217501643,ARVA1700,Primary Wire,217501645,
OH Primary,217501643,ARVA1700,Primary Wire,217501646,
OH Primary,217415740,ARVA1700,Primary Wire,217415742,
OH Primary,114326904,ARVA1700,Primary Wire,114326910,
OH Primary,114326904,ARVA1700,Primary Wire,114326911,
OH Primary,114326904,ARVA1700,Primary Wire,114326912,
OH Primary,114326904,ARVA1700,Primary Wire,114326913,
OH Primary,217415727,ARVA1700,Primary Wire,217415729,
OH Primary,248914560,ARVA1700,Primary Wire,248914579,
OH Primary,218322795,ARVA1700,Primary Wire,218322797,
OH Primary,217526484,ARVA1700,Primary Wire,217526488,
OH Primary,248914377,ARVA1700,Primary Wire,248914394,
OH Primary,217526269,ARVA1700,Primary Wire,217526271,
OH Primary,217515635,ARVA1700,Primary Wire,217515636,
OH Primary,217515635,ARVA1700,Primary Wire,217515637,
OH Primary,221625928,ARVA1700,Primary Wire,221625932,
OH Primary,217410929,ARVA1700,Primary Wire,217410931,
OH Primary,385514500,ARVA1700,Primary Wire,385514514,
OH Primary,248916498,ARVA1700,Primary Wire,248916513,
OH Primary,217525906,ARVA1700,Primary Wire,217525907,
OH Primary,248914537,ARVA1700,Primary Wire,248914550,
OH Primary,217519249,ARVA1700,Primary Wire,217519253,
OH Primary,220458350,ARVA1700,Primary Wire,220458353,
OH Primary,217526286,ARVA1700,Primary Wire,217526288,
OH Primary,459758690,ARVA1700,Primary Wire,459758701,
OH Primary,221625943,ARVA1700,Primary Wire,221625947,
OH Primary,459758690,ARVA1700,Primary Wire,459758703,
OH Primary,217533238,ARVA1700,Primary Wire,217533240,
OH Primary,217533719,ARVA1700,Primary Wire,476810577,
OH Primary,217415867,ARVA1700,Primary Wire,217415871,
OH Primary,248914641,ARVA1700,Primary Wire,248914654,
OH Primary,217524935,ARVA1700,Primary Wire,217524936,
OH Primary,217524935,ARVA1700,Primary Wire,217524937,
OH Primary,217518338,ARVA1700,Primary Wire,217518340,
OH Switch,234530720,ARVA1700,,,
OH Switch,234532215,ARVA1700,,,
OH Switch,234532843,ARVA1700,,,
OH Switch,234532215,ARVA1700,OH Switch Unit,234532222,
OH Switch,234532843,ARVA1700,OH Switch Unit,234532849,
OH Switch,234530720,ARVA1700,OH Switch Unit,234530726,
OH Switch,234530720,ARVA1700,OH Switch Unit,234530727,
OH Switch,234530720,ARVA1700,OH Switch Unit,234530728,
OH Switch,234532843,ARVA1700,OH Switch Unit,234532850,
OH Switch,234532843,ARVA1700,OH Switch Unit,234532851,
OH Switch,234532215,ARVA1700,OH Switch Unit,476448766,
OH Switch,234532215,ARVA1700,OH Switch Unit,234532221,
OH Transformer Bank,381556301,ARVA1700,,,
OH Transformer Bank,235955394,ARVA1700,,,
OH Transformer Bank,235890321,ARVA1700,,,
OH Transformer Bank,237188744,ARVA1700,,,
OH Transformer Bank,235955478,ARVA1700,,,
OH Transformer Bank,235890300,ARVA1700,,,
OH Transformer Bank,235955478,ARVA1700,OH Transformer Bank Unit,235955491,
OH Transformer Bank,235890321,ARVA1700,OH Transformer Bank Unit,235890332,
OH Transformer Bank,381556301,ARVA1700,OH Transformer Bank Unit,381556320,
OH Transformer Bank,235890300,ARVA1700,OH Transformer Bank Unit,235890311,
OH Transformer Bank,237188744,ARVA1700,OH Transformer Bank Unit,428217505,
OH Transformer Bank,235955394,ARVA1700,OH Transformer Bank Unit,235955405,
OH Transformer Bank,235955478,ARVA1700,OH Transformer Bank Unit,476472986,
Pole,231267860,ARVA1700,,,
Pole,229930158,ARVA1700,,,
Pole,229929351,ARVA1700,,,
Pole,230019044,ARVA1700,,,
Pole,230019934,ARVA1700,,,
Pole,230003583,ARVA1700,,,
Pole,229946331,ARVA1700,,,
Pole,230017647,ARVA1700,,,
Pole,229929380,ARVA1700,,,
Pole,58691866,ARVA1700,,,
Pole,229894894,ARVA1700,,,
Pole,230017563,ARVA1700,,,
Pole,230017892,ARVA1700,,,
Pole,230018561,ARVA1700,,,
Pole,230019157,ARVA1700,,,
Pole,229932354,ARVA1700,,,
Pole,230017924,ARVA1700,,,
Pole,230005728,ARVA1700,,,
Pole,230017570,ARVA1700,,,
Pole,230005848,ARVA1700,,,
Pole,230005747,ARVA1700,,,
Pole,229894906,ARVA1700,,,
Pole,229930140,ARVA1700,,,
Pole,230005712,ARVA1700,,,
Pole,229930542,ARVA1700,,,
Pole,230005703,ARVA1700,,,
Pole,230019139,ARVA1700,,,
Pole,385514376,ARVA1700,Pole Attachment,375382364,
Pole,230017892,ARVA1700,Pole Attachment,375382245,
Pole,230019934,ARVA1700,Pole Attachment,375382491,
Pole,230019934,ARVA1700,Pole Attachment,375382492,
Primary Structure Node,95255474,ARVA1700,,,
Primary Structure Node,94867054,ARVA1700,,,
Primary Structure Node,94868938,ARVA1700,,,
Primary Structure Node,94851594,ARVA1700,,,
Primary Structure Node,94851766,ARVA1700,,,
Primary Structure Node,114326939,ARVA1700,,,
Primary Structure Node,94869274,ARVA1700,,,
Primary Structure Node,95356946,ARVA1700,,,
Primary Structure Node,94870054,ARVA1700,,,
Primary Structure Node,94851774,ARVA1700,,,
Primary Structure Node,95279046,ARVA1700,,,
Primary Structure Node,474844937,ARVA1700,,,
Primary Structure Node,94867846,ARVA1700,,,
Primary Structure Node,475800214,ARVA1700,,,
Primary Structure Node,94867854,ARVA1700,,,
Primary Structure Node,94868794,ARVA1700,,,
Primary Structure Node,156960294,ARVA1700,,,
Primary Structure Node,240383943,ARVA1700,,,
Primary Structure Node,96118779,ARVA1700,,,
Primary Structure Node,94865178,ARVA1700,,,
Primary Structure Node,94866206,ARVA1700,,,
Primary Structure Node,95258934,ARVA1700,,,
Primary Structure Node,114326918,ARVA1700,,,
Primary Structure Node,95279050,ARVA1700,,,
Primary Structure Node,94868782,ARVA1700,,,
Primary Structure Node,94867638,ARVA1700,,,
Primary Structure Node,94868822,ARVA1700,,,
Primary Structure Node,94867042,ARVA1700,,,
Primary Structure Node,96219799,ARVA1700,,,Error: No Record found for this ID
Sectionalizer Bank,234480308,ARVA1700,,,
Sectionalizer Bank,234480308,ARVA1700,Sectionalizer Bank Unit,234480321,
Sectionalizer Bank,234480308,ARVA1700,Sectionalizer Bank Unit,234480319,
Sectionalizer Bank,234480308,ARVA1700,Sectionalizer Bank Unit,476893283,
